time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-22T19:44:41.850Z,38.1222,-118.092,0.8,1.5,ml,10,166.28,0.092,0.05,nn,nn00731527,2020-05-22T20:02:10.802Z,"64km SE of Hawthorne, Nevada",earthquake,,7.9,,,automatic,nn,nn
2020-05-22T19:43:22.230Z,35.8221667,-117.6248333,9.8,0.98,ml,8,81,0.02311,0.16,ci,ci39211927,2020-05-22T19:46:57.988Z,"21km WNW of Searles Valley, CA",earthquake,0.57,0.91,0.147,7,automatic,ci,ci
2020-05-22T19:39:38.940Z,33.0131667,-116.012,7.3,1.33,ml,17,79,0.131,0.23,ci,ci39211919,2020-05-22T19:43:26.063Z,"18km SE of Ocotillo Wells, CA",earthquake,0.63,1.5,0.15,29,automatic,ci,ci
2020-05-22T19:39:04.840Z,38.8251648,-122.8550034,2.5,1.04,md,23,64,0.00279,0.02,nc,nc73393446,2020-05-22T19:40:39.458Z,"10km WNW of The Geysers, CA",earthquake,0.21,0.42,0.11,4,automatic,nc,nc
2020-05-22T19:38:49.880Z,38.8250008,-122.8546677,2.42,0.95,md,21,64,0.003069,0.02,nc,nc73393436,2020-05-22T19:59:03.121Z,"10km WNW of The Geysers, CA",earthquake,0.25,0.41,0.1,4,automatic,nc,nc
2020-05-22T19:38:37.850Z,37.5481682,-118.7478333,6.05,1.3,md,8,207,0.07692,0.03,nc,nc73393431,2020-05-22T19:56:03.105Z,"6km WSW of Toms Place, CA",earthquake,1.25,2.67,0.24,8,automatic,nc,nc
2020-05-22T19:36:36.400Z,38.8255005,-122.8544998,2.53,0.77,md,20,69,0.002758,0.02,nc,nc73393426,2020-05-22T19:51:05.077Z,"10km WNW of The Geysers, CA",earthquake,0.22,0.46,0.15,4,automatic,nc,nc
2020-05-22T19:35:09.920Z,38.8255005,-122.8541641,2.54,0.2,md,16,62,0.00294,0.02,nc,nc73393421,2020-05-22T19:47:04.052Z,"10km WNW of The Geysers, CA",earthquake,0.26,0.53,0.16,3,automatic,nc,nc
2020-05-22T19:35:08.470Z,38.1567,-117.9265,13.4,1.8,ml,18,85.59,0.021,0.11,nn,nn00731523,2020-05-22T19:42:53.793Z,"61km W of Tonopah, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-05-22T19:33:06.996Z,27.3133,128.4541,47.02,5,mww,,84,0.502,1.24,us,us70009npa,2020-05-22T20:00:08.918Z,"93km NNE of Nago, Japan",earthquake,7.5,8.2,0.089,12,reviewed,us,us
2020-05-22T19:29:18.980Z,38.207,-117.7395,10.1,1.8,ml,9,120.41,0.105,0.1,nn,nn00731519,2020-05-22T19:34:59.368Z,"47km WNW of Tonopah, Nevada",earthquake,,2.5,,,automatic,nn,nn
2020-05-22T19:28:49.648Z,66.3218,-157.2114,2.5,0.9,ml,,,,0.18,ak,ak0206ktbyzm,2020-05-22T19:35:04.421Z,"66km SSW of Kobuk, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-05-22T19:28:37.760Z,38.1447,-117.7953,12.9,1.3,ml,10,185.66,0.028,0.02,nn,nn00731518,2020-05-22T19:34:50.869Z,"50km W of Tonopah, Nevada",earthquake,,3.1,,,automatic,nn,nn
2020-05-22T19:28:08.980Z,38.8266678,-122.8553314,2.69,0.36,md,9,67,0.01688,0.02,nc,nc73393411,2020-05-22T19:43:03.025Z,"10km WNW of The Geysers, CA",earthquake,0.36,1.6,,1,automatic,nc,nc
2020-05-22T19:27:49.250Z,38.8263321,-122.8548355,2.43,2.04,md,38,63,0.002,0.04,nc,nc73393406,2020-05-22T19:38:02.995Z,"10km WNW of The Geysers, CA",earthquake,0.2,0.36,0.16,12,automatic,nc,nc
2020-05-22T19:27:18.010Z,38.119,-118.1565,4.1,1.5,ml,10,140.37,0.247,0.06,nn,nn00731516,2020-05-22T19:30:30.440Z,"60km SE of Hawthorne, Nevada",earthquake,,8,,,automatic,nn,nn
2020-05-22T19:27:15.440Z,37.5681648,-121.7786636,3.71,0.92,md,10,109,0.03623,0.03,nc,nc73393401,2020-05-22T19:38:03.355Z,"11km ESE of Sunol, CA",earthquake,0.29,0.58,0.04,6,automatic,nc,nc
2020-05-22T19:26:19.050Z,38.157,-117.8788,9.1,1.4,ml,12,108.47,0.012,0.08,nn,nn00731514,2020-05-22T19:29:51.350Z,"57km W of Tonopah, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-05-22T19:24:34.630Z,38.1253,-118.0657,7.3,1.9,ml,17,115.8,0.089,0.14,nn,nn00731511,2020-05-22T19:28:15.316Z,"65km SE of Hawthorne, Nevada",earthquake,,2,,,automatic,nn,nn
2020-05-22T19:21:21.420Z,38.1848,-117.913,6.6,2.1,ml,21,64.45,0.046,0.12,nn,nn00731507,2020-05-22T19:25:54.593Z,"61km WNW of Tonopah, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-05-22T19:20:27.300Z,38.1728,-118.0218,1.8,1.4,ml,11,133.45,0.044,0.06,nn,nn00731506,2020-05-22T19:23:51.415Z,"65km SE of Hawthorne, Nevada",earthquake,,9.3,,,automatic,nn,nn
2020-05-22T19:20:15.920Z,38.8214989,-122.8470001,2.03,0.1,md,19,69,0.009489,0.02,nc,nc73393396,2020-05-22T19:28:01.931Z,"9km WNW of The Geysers, CA",earthquake,0.22,0.41,0.02,3,automatic,nc,nc
2020-05-22T19:19:42.450Z,19.498167,-155.462326,2.53,1.98,ml,23,84,0.03197,0.21,hv,hv71522932,2020-05-22T19:25:16.170Z,"24km WNW of Volcano, Hawaii",earthquake,0.6,1.87,4.27,3,automatic,hv,hv
2020-05-22T19:13:59.490Z,38.1682,-117.957,5.1,1.5,ml,17,134.02,0.038,0.13,nn,nn00731502,2020-05-22T19:21:53.244Z,"64km W of Tonopah, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-05-22T19:11:22.220Z,35.6296667,-117.4188333,2.87,1.59,ml,16,156,0.1135,0.17,ci,ci39211911,2020-05-22T19:15:19.870Z,"15km S of Searles Valley, CA",earthquake,0.44,1.71,0.139,23,automatic,ci,ci
2020-05-22T19:10:11.370Z,37.253,-117.137,3.6,0.7,ml,9,154.46,0.52,0.28,nn,nn00731500,2020-05-22T19:15:11.108Z,"50km NW of Beatty, Nevada",earthquake,,24.8,,,automatic,nn,nn
2020-05-22T19:07:30.450Z,38.1938,-117.7015,0.9,1.3,ml,9,192.31,0.115,0.16,nn,nn00731499,2020-05-22T19:12:51.266Z,"43km WNW of Tonopah, Nevada",earthquake,,12.4,,,automatic,nn,nn
